ParName   Value   Gradient
sel_devs_fsh(16,5)     0.116755 -2.91541e-05
sel_devs_fsh(16,6)    0.0849247 -0.000328519
sel_devs_fsh(16,7)    0.0935155  0.000258168
sel_devs_fsh(16,8)    0.0978558  1.02729e-05
sel_devs_fsh(16,9)     0.092253  8.35512e-06
sel_devs_fsh(16,10)    0.0860141 -9.75856e-05
sel_devs_fsh(16,11)    0.0835585  0.000343581
sel_devs_fsh(16,12)    0.0850866 -0.000206409
sel_devs_fsh(17,1)    -0.130235  0.000105109
sel_devs_fsh(17,2)     -0.10182 -7.02233e-05
sel_devs_fsh(17,3)    -0.300705 -4.26525e-05
sel_devs_fsh(17,4)   -0.0210381  0.000119587
sel_devs_fsh(17,5)    0.0259881 -4.48326e-05
sel_devs_fsh(17,6)    0.0653758 -0.000285977
sel_devs_fsh(17,7)    0.0648885  0.000268463
sel_devs_fsh(17,8)    0.0734412 -0.000120903
sel_devs_fsh(17,9)    0.0778719   2.1205e-05
sel_devs_fsh(17,10)    0.0797226  5.85067e-06
sel_devs_fsh(17,11)    0.0817366  0.000270393
sel_devs_fsh(17,12)    0.0847707  -0.00025314
sel_devs_fsh(18,1)    -0.147187 -2.91662e-05
sel_devs_fsh(18,2)     0.102924 -1.94037e-05
sel_devs_fsh(18,3)   -0.0845555  -1.3042e-05
sel_devs_fsh(18,4)    -0.162095  0.000125818
sel_devs_fsh(18,5)   -0.0762015 -2.62654e-05
sel_devs_fsh(18,6)    0.0425899 -0.000248676
sel_devs_fsh(18,7)    0.0363895  0.000304142
sel_devs_fsh(18,8)    0.0328614  1.19105e-05
sel_devs_fsh(18,9)    0.0513986  5.37924e-05
sel_devs_fsh(18,10)    0.0594991 -0.000247478
sel_devs_fsh(18,11)    0.0687043  0.000290493
sel_devs_fsh(18,12)    0.0756706 -0.000217116
sel_devs_fsh(19,1)    -0.135771  7.74171e-05
sel_devs_fsh(19,2)    -0.150465 -3.65469e-05
sel_devs_fsh(19,3)    0.0631133  -3.3653e-05
sel_devs_fsh(19,4)   -0.0679945  5.39212e-05
