year,age,original_proportion,tinyvast_proportion,percent_change,direction
2010,2,0.015026669,0.014885408,-0.9400686206637024,Decrease
2010,3,0.034008689,0.033889908,-0.3492666241853614,Decrease
2010,4,0.452057269,0.458424781,1.4085631261025071,Increase
2010,5,0.186210191,0.185644246,-0.30392804870705725,Decrease
2010,6,0.052292708,0.051721696,-1.0919533943432471,Decrease
2010,7,0.041772671,0.040920337,-2.040410583273443,Decrease
2010,8,0.042730655,0.042047952,-1.5976890595288085,Decrease
2010,9,0.042827112,0.042267526,-1.3066162387975186,Decrease
2010,10,0.029337509,0.029018232,-1.088289397712668,Decrease
2010,11,0.024968802,0.024600921,-1.4733626387040797,Decrease
2010,12,0.009086233,0.008941031,-1.5980439858850253,Decrease
2010,13,0.005427697,0.005392766,-0.6435694549640519,Decrease
2010,14,0.003212581,0.003180511,-0.9982627675379991,Decrease
2010,15,0.007465852,0.00734151,-1.6654763582240897,Decrease
2011,1,0.18759193,0.190785257,1.7022731201710135,Increase
2011,2,0.019772131,0.019656587,-0.5843780824636388,Decrease
2011,3,0.049724669,0.051267399,3.102544533780605,Increase
2011,4,0.061889517,0.061849595,-0.06450526993125151,Decrease
2011,5,0.312575748,0.310636017,-0.6205634993793568,Decrease
2011,6,0.151403621,0.150259268,-0.755829347040509,Decrease
2011,7,0.042807105,0.042220138,-1.3711906002519927,Decrease
2011,8,0.023290879,0.022945431,-1.4831900504914464,Decrease
2011,9,0.035354073,0.034993379,-1.0202332274417198,Decrease
2011,10,0.034873997,0.034523693,-1.0044848028173994,Decrease
2011,11,0.029635807,0.029469445,-0.5613547152604947,Decrease
2011,12,0.022729527,0.022653471,-0.33461321038487934,Decrease
2011,13,0.009928921,0.009953151,0.24403457334387174,Increase
2011,14,0.004698156,0.004736384,0.8136809420547024,Increase
