"Scenario","Year","Quantity","Value","Reference_value","Percent_change"
"Drop BTS",1971,"Age-1 recruitment",14388.4025255418,13590.5333376988,5.87077172041333
"Drop BTS",1971,"Fishing mortality",0.264433941710613,0.313574592371676,-15.6711200003148
"Drop BTS",1972,"Spawning biomass",2264.41595533532,1951.63936455024,16.0263518181886
"Drop BTS",1972,"Total biomass",8190.62645483741,7190.2652918406,13.9127156286154
"Drop BTS",1972,"Age-1 recruitment",11689.0110601664,10858.3652866725,7.64982344546232
"Drop BTS",1972,"Fishing mortality",0.30199693015085,0.357311728032059,-15.4808234775452
"Drop BTS",1973,"Spawning biomass",1990.3911721675,1673.22923984101,18.9550794819141
"Drop BTS",1973,"Total biomass",7507.77879375683,6449.15204227572,16.4149758687896
"Drop BTS",1973,"Age-1 recruitment",30537.8147789233,26722.9261033214,14.2757146461133
"Drop BTS",1973,"Fishing mortality",0.34432559527752,0.41256227980677,-16.539729361882
"Drop BTS",1974,"Spawning biomass",1589.09092749657,1272.11051866407,24.9176784706867
"Drop BTS",1974,"Total biomass",6585.57620077678,5419.62722522438,21.5134533630978
"Drop BTS",1974,"Age-1 recruitment",24591.1384238085,19195.2134652431,28.1107838073064
"Drop BTS",1974,"Fishing mortality",0.364088247142324,0.449463192180217,-18.9948691068035
"Drop BTS",1975,"Spawning biomass",1559.85090570301,1178.60822635665,32.3468537568985
"Drop BTS",1975,"Total biomass",6041.70612737788,4649.41200847056,29.9455956230758
"Drop BTS",1975,"Age-1 recruitment",23984.1428607427,16293.7585534832,47.1983445809403
"Drop BTS",1975,"Fishing mortality",0.294931258189992,0.377370530876359,-21.8457102346917
"Drop BTS",1976,"Spawning biomass",1571.04391018965,1100.87232601873,42.7090020394355
"Drop BTS",1976,"Total biomass",5942.15060491322,4242.46894077309,40.0635028298027
"Drop BTS",1976,"Age-1 recruitment",19452.3754412967,12775.3998160117,52.2643183105438
"Drop BTS",1976,"Fishing mortality",0.24899449310369,0.349003094290249,-28.6555055879781
"Drop BTS",1977,"Spawning biomass",2033.99025429612,1280.52260345231,58.8406365348378
"Drop BTS",1977,"Total biomass",6120.94977476708,3968.54654152988,54.2365626990342
"Drop BTS",1977,"Age-1 recruitment",22461.0278653531,13803.6030717259,62.7185869416976
"Drop BTS",1977,"Fishing mortality",0.201440770323469,0.327913585889457,-38.5689465177034
"Drop BTS",1978,"Spawning biomass",2046.9472641986,1131.88130291186,80.8446927193385
"Drop BTS",1978,"Total biomass",6963.58373536116,4231.78437061717,64.5543138660814
"Drop BTS",1978,"Age-1 recruitment",35345.3993035368,26202.4122163677,34.8936846412095
